task_id,official_outcome,capture_id,episode_id,node_id,checkpoint_kind,cutoff_step,public_test_outcome,public_green_verifier,semantic_completion,knowledge_references,capture_path
swebench--astropy__astropy-12318,UNRESOLVED,20f1922e0a74cde8fe9dc69d5f6f0a8c21a75559910d97b865afea7f774bf7b8,episode:266c4e2f02569f9950d760c80ad5f818c4a6bd9b087bcb71e2b8eb61901b3aee,dimensionless-flux,COMPLETED_SUBGOAL,22,,False,True,12,/home/trimem-runner/skhynix-architecture-scale-001/pipeline-v13/learning-240/captures/20f1922e0a74cde8fe9dc69d5f6f0a8c21a75559910d97b865afea7f774bf7b8.json
swebench--astropy__astropy-12318,UNRESOLVED,cae3c644e901e03e541959b624398fb1d0794df7e5301e41d0441c9dca134b2b,episode:9e7ddd9a7881aef7fbaec4fe61fbc0f2c1315d57c3021754d2f19c3bd3557c16,scale-compatibility,COMPLETED_SUBGOAL,36,,False,True,0,/home/trimem-runner/skhynix-architecture-scale-001/pipeline-v13/learning-240/captures/cae3c644e901e03e541959b624398fb1d0794df7e5301e41d0441c9dca134b2b.json
swebench--astropy__astropy-13390,UNRESOLVED,af75a75f39de3f18e62e3fa6e576527208956267831577f2635d2eefa3f45eb7,episode:91addc65519763ad8a4fa51fe057124ef452d15dc36cb0c8798801d2d4ac829e,string-comparisons,COMPLETED_SUBGOAL,31,,False,True,2,/home/trimem-runner/skhynix-architecture-scale-001/pipeline-v13/learning-240/captures/af75a75f39de3f18e62e3fa6e576527208956267831577f2635d2eefa3f45eb7.json
swebench--astropy__astropy-13390,UNRESOLVED,3a62c655ab16ad78ade2ce950fb38c309790be972a3957aaca76a22077cdc634,episode:36fc52f7ef1c63b0089d628d2a08668694f6abe4c250f92fc75966af47d9992b,mask-regressions,COMPLETED_SUBGOAL,51,,False,True,0,/home/trimem-runner/skhynix-architecture-scale-001/pipeline-v13/learning-240/captures/3a62c655ab16ad78ade2ce950fb38c309790be972a3957aaca76a22077cdc634.json
swebench--astropy__astropy-13404,RESOLVED,e951bc6933c5223d84166b83a0837d370a2be60fa8b4f1b8a84305cddd0630ae,episode:d2d9ec20680bdfbe5766a656767add61a2c8992e45fd09b2f76d24afcb3fd767,structured-format,PUBLIC_TEST_OBSERVATION,32,RED,False,False,5,/home/trimem-runner/skhynix-architecture-scale-001/pipeline-v13/learning-240/captures/e951bc6933c5223d84166b83a0837d370a2be60fa8b4f1b8a84305cddd0630ae.json
swebench--astropy__astropy-13404,RESOLVED,0091f31875abccf693b67005b7d4ff36b370e3b4a1b8a8b982465564e03af1fd,episode:b9c6c9f520ee5195bcb9d0dc59437062aa9dd82e5e60efcdb2920652e4e02a98,structured-format,PUBLIC_TEST_OBSERVATION,37,GREEN,True,False,5,/home/trimem-runner/skhynix-architecture-scale-001/pipeline-v13/learning-240/captures/0091f31875abccf693b67005b7d4ff36b370e3b4a1b8a8b982465564e03af1fd.json
swebench--astropy__astropy-13404,RESOLVED,5a32151abaec2c135fe4d3b90fd9eb80ac061645c1d1ffbe788c2bd2c9541a58,episode:e4a2818f202a88a3587ffbbc7c9e58f5d2f51511ebc3b1028bf94bc8adfecfd7,structured-format,COMPLETED_SUBGOAL,42,,False,True,5,/home/trimem-runner/skhynix-architecture-scale-001/pipeline-v13/learning-240/captures/5a32151abaec2c135fe4d3b90fd9eb80ac061645c1d1ffbe788c2bd2c9541a58.json
swebench--astropy__astropy-13404,RESOLVED,52c0d3e3d302e7c46f3c1c01ba3df0689866bcf79f2ad0053671091001b58ee8,episode:590e58f0fbdc465bfa6ece83060b6cf3a851192ce33627cd098ba1d9ed74feb5,format-compatibility,PUBLIC_TEST_OBSERVATION,55,GREEN,True,False,0,/home/trimem-runner/skhynix-architecture-scale-001/pipeline-v13/learning-240/captures/52c0d3e3d302e7c46f3c1c01ba3df0689866bcf79f2ad0053671091001b58ee8.json
swebench--astropy__astropy-13404,RESOLVED,6a8d34a3a43ecfb9f02357d7ec6f0840edb4c5dc2c5525137c27f09c5cb9faa5,episode:0d8d46390b5e9dba9c3d2b64569fbd66e63f7680d072f93a145762813c028825,format-compatibility,COMPLETED_SUBGOAL,61,,False,True,0,/home/trimem-runner/skhynix-architecture-scale-001/pipeline-v13/learning-240/captures/6a8d34a3a43ecfb9f02357d7ec6f0840edb4c5dc2c5525137c27f09c5cb9faa5.json
swebench--astropy__astropy-13477,UNRESOLVED,c7f10a1972c3909160e69e9f1aa948cef7d7ea23a080e3798fc7c5b17462430a,episode:55b0857bab8ce72a6711ef2106f25db03f99a32909dc17fc0044a180561582e0,mixed_equality,TERMINAL_ACTIVE,37,,False,False,4,/home/trimem-runner/skhynix-architecture-scale-001/pipeline-v13/learning-240/captures/c7f10a1972c3909160e69e9f1aa948cef7d7ea23a080e3798fc7c5b17462430a.json
